RegNum,'Form','Genus','Species','Country','State','Precise Location','Latitude','Longitude','Date Collected','Date Registered',Sex,Age
M.11062,SPIRIT SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Newnes, NE of Lithgow","33° 22' "" S","150° 12' "" E",10/26/78,1/11/79,Male,Adult
M.11063,SPIRIT SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Newnes Plateau, NE of Lithgow","33° 22' "" S","150° 12' "" E",10/27/78,1/11/79,Female,Adult
M.11064,SPIRIT SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Newnes Plateau, NE of Lithgow","33° 22' "" S","150° 12' "" E",10/24/78,1/11/79,Male,Adult
M.11065,SPIRIT SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Boorai, Colo R junction, 21 km W of Putty Rd","33° 14' "" S","150° 31' "" E",11/25/78,1/11/79,Male,Adult
M.11066,SPIRIT SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Boorai Ck and Colo R junction, 21 km W of Putty Rd","33° 14' "" S","150° 31' "" E",11/25/78,1/11/79,Female,Adult
M.11074,SPIRIT SKULL SKIN,Rattus,fuscipes,Australia,New South Wales,"Colo R and Boorai Ck junction, 21 km W of Putty Rd","33° 14' "" S","150° 31' "" E",11/5/78,1/12/79,Male,Adult
M.11088,SPIRIT SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Culoul Range, 10.6 km along Culoul Range from Putty Rd","33° 12' "" S","150° 34' "" E",11/13/78,1/12/79,Female,Juvenile
M.11134,SPIRIT SKULL,Melomys,cervinipes,Australia,New South Wales,"Careys Peak Track, Gloucester Tops","32° 00' "" S","151° 27' "" E",10/4/78,2/22/79,Male,Adult
M.11180,SPIRIT SKULL,Melomys,burtoni,Australia,Queensland,WEIPA BESIDE HEY R,"12° 37' 48"" S","141° 52' 44"" E",2/14/79,3/22/79,Female,Adult
M.11240,SKIN SKULL,Pseudomys,delicatulus,Australia,Northern Territory,DALY RIVER POST OFFICE 15KM UPSTREAM,"13° 52' "" S","130° 44' "" E",6/26/78,7/18/79,Female,Adult
M.11263.001,Skull,Pseudomys,delicatulus,Australia,New South Wales,"Merriwindi SF: Cumberdeen Rd, 3km W of Pilliga-Baradine Rd","30° 52' "" S","148° 59' "" E",11/21/79,2/27/80,Male,Adult
M.11264.001,Skull,Pseudomys,pilligaensis,Australia,New South Wales,Merriwindi State Forest: Cumberdeen Rd,"30° 52' "" S","148° 59' "" E",1/18/78,2/27/80,Female,Adult
M.11374,SKIN SKULL,Rattus,norvegicus,Australia,New South Wales,East Maitland to Raymond Terrace area,"32° 45' "" S","151° 40' "" E",10/19/79,9/18/80,Male,Adult
M.11377,SKIN SKULL,Melomys,burtoni,Australia,New South Wales,"2 km S of Red Rock, 40 km N of Coffs Harbour","30° 01' "" S","153° 12' "" E",7/5/79,9/23/80,Female,Adult
M.11379.001,Skull,Pseudomys,novaehollandiae,Australia,New South Wales,"Belltrees, NW of Gosford","33° 24' "" S","151° 18' "" E",2/3/73,9/23/80,Female,Adult
M.11382,Skull,Rattus,lutreolus,Australia,New South Wales,"Maria River State Forest, 6 km S of Kempsey","31° 11' "" S","152° 50' "" E",5/22/80,9/25/80,Male,Adult
M.11433,SPIRIT SKULL,Melomys,cervinipes,Australia,New South Wales,Levers Plateau,"28° 20' "" S","152° 52' "" E",,12/11/80,Male,Adult
M.11485,SKULL AND SPIRIT,Melomys,cervinipes,Australia,New South Wales,Wiangarie State Forest,"28° 23' "" S","153° 06' "" E",,12/29/80,Female,Adult
M.11486,SKULL AND SPIRIT,Melomys,cervinipes,Australia,New South Wales,Wiangarie State Forest,"28° 23' "" S","153° 06' "" E",,12/29/80,Male,Adult
M.11488,Dry and wet,Melomys,cervinipes,Australia,New South Wales,"Richmond Range State Forest, NW of Grafton","28° 31' "" S","152° 44' "" E",12/4/76,12/29/80,Female,Adult
M.11489,SPIRIT AND SKULL,Melomys,cervinipes,Australia,New South Wales,"Levers Plateau, N of Grafton","28° 20' "" S","152° 52' "" E",,12/29/77,Female,Adult
M.11509,SKIN AND SKULL,Rattus,fuscipes,Australia,New South Wales,Ku-ring-Gai Chase National Park Headquarters,"33° 40' "" S","151° 07' "" E",12/31/79,12/31/80,Male,Adult
M.11510,SKIN AND SKULL,Rattus,rattus,Australia,New South Wales,"Maria River State Forest, 6 km S of Kempsey","31° 11' "" S","152° 50' "" E",5/17/80,12/31/80,Female,Adult
M.11510.001,Dry,Rattus,rattus,Australia,New South Wales,"Maria River State Forest, 6 km S of Kempsey","31° 11' "" S","152° 50' "" E",5/17/80,10/25/10,,
M.11550,SPIRIT AND SKULL,Rattus,lutreolus,Australia,New South Wales,"Stratford, Parkers Rd, via Gloucester","32° 07' "" S","151° 56' "" E",10/24/77,1/7/81,Female,Juvenile
M.11555,SPIRIT AND SKULL,Rattus,lutreolus,Australia,New South Wales,Richmond Range,"28° 31' "" S","152° 44' "" E",,1/7/81,Male,Adult
M.1158.001,Skull,Zyzomys,pedunculatus,Australia,,"Northern Territory, Central Australia",,,,1/0/00,,
M.11587,SPIRIT AND SKULL,Rattus,fuscipes,Australia,New South Wales,"Tobys Glen, Blue Mountains National Park","33° 47' "" S","150° 31' "" E",5/11/78,1/12/81,Female,Adult
M.11590,SPIRIT AND SKULL,Rattus,fuscipes,Australia,New South Wales,"Ingar Swamp, E of Wentworth Falls, Blue Mountains National Park","33° 46' "" S","150° 27' "" E",,1/12/80,Male,Adult
M.11600,SKULL AND SPIRIT,Rattus,rattus,Australia,New South Wales,"Gymea, Sydney","34° 02' "" S","151° 04' "" E",10/26/76,1/16/81,Male,Adult
M.11604,SPIRIT AND SKULL,Rattus,rattus,Australia,New South Wales,"Kings Plains Ck, near Grenfell","33° 54' "" S","148° 10' "" E",10/20/76,1/16/81,Male,Adult
M.11611,"skull, spirit body",Rattus,rattus,Australia,New South Wales,"Womens Weekly Hut Gap Beach, Smoky Cape, South West Rocks","30° 54' "" S","153° 05' "" E",1/19/76,1/16/81,Male,Juvenile
M.11616,Spirit & skull,Mus,musculus,Australia,New South Wales,"Buckingbong State Forest, near Narrandera","34° 57' "" S","146° 29' "" E",12/7/79,1/20/81,Male,Adult
M.11688,SPIRIT AND SKULL,Rattus,rattus,Australia,New South Wales,"Smoky Cape, near Kempsey","30° 55' "" S","153° 05' "" E",1/23/76,1/3/81,,Juvenile
M.11689,SPIRIT AND SKULL,Rattus,rattus,Australia,New South Wales,"Tocumwal, SE of Deniliquin","35° 49' "" S","145° 34' "" E",,1/3/81,Female,Adult
M.11713,"SKIN, skull",Rattus,fuscipes,Australia,New South Wales,"Ku-ring-Gai Chase National Park, West Head","33° 35' "" S","151° 18' "" E",9/13/79,1/5/81,Male,Juvenile
M.11731,Spirit & skull,Melomys,capensis,Australia,Queensland,BADU ISLAND TORRES STRAIT,"10° 07' "" S","142° 07' "" E",12/20/76,2/10/81,Male,Adult
