RegNum,'Form','Genus','Species','Country','State','Precise Location','Latitude','Longitude','Date Collected','Date Registered',Sex,Age
M.25697,Spirit & skull,Mus,musculus,Australia,New South Wales,"Chunky Ck, Mount King, Tibooburra","29° 14' "" S","141° 46' "" E",5/15/77,11/26/91,,
M.25707,Spirit Skull,Rattus,villosissimus,Australia,New South Wales,"Waka area, Tibooburra","29° 14' "" S","141° 20' "" E",7/1/75,11/26/91,,
M.25711,Spirit& Skull,Rattus,rattus,Australia,,"Egeria Point Road, Christmas Island,Indian ocean",,,5/18/79,11/26/91,,
M.25725,Dry and wet,Mus,musculus,Australia,New South Wales,"Nadgee Nature Reserve, Nadgee Flat","37° 26' "" S","149° 56' "" E",3/27/74,11/27/91,Male,
M.2577,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Moss Vale,"34° 33' "" S","150° 23' "" E",,7/1/15,,
M.2577.001,Dry,Rattus,rattus,Australia,New South Wales,Moss Vale,"34° 33' "" S","150° 23' "" E",,10/25/10,,
M.25810,Spirit & skull,Mus,musculus,Australia,Western Australia,"Stirling Range National Park, White Gum Flat","34° 22' "" S","117° 48' "" E",2/17/79,12/5/91,,Juvenile
M.2585,SKIN SKULL,Rattus,lutreolus,Australia,New South Wales,Port Macquarie,"31° 27' "" S","152° 55' "" E",,9/28/15,Male,
M.2586,SKIN SKULL,Rattus,lutreolus,Australia,New South Wales,Port Macquarie,"31° 27' "" S","152° 55' "" E",,9/28/15,Female,
M.25979,SPIRIT and SKULL,Rattus,norvegicus,Australia,New South Wales,"Arcadia, near Sydney","33° 37' "" S","151° 03' "" E",7/9/82,1/9/92,Male,subadult
M.260,SKIN SKULL IN SKIN,Mus,,Australia,New South Wales,Lithgow,"33° 29' "" S","150° 10' "" E",,,,
M.26066,Dry,Mus,musculus,Australia,New South Wales,"25 miles NE Griffith, Cocoparra National Park","34° 04' "" S","146° 13' "" E",4/7/74,1/23/92,,
M.2607,SKIN SKULL,Rattus,norvegicus,Australia,New South Wales,Marrickville,"33° 54' 27"" S","151° 09' 41"" E",,1/6/16,,
M.26070,Spirit & skull,Melomys,capensis,Australia,Queensland,"Middle Claudie River, Iron Range, North Queensland","12° 43' 01"" S","143° 16' 59"" E",10/8/74,1/23/92,Male,
M.26073.001,Dry,Rattus,rattus,Australia,Western Australia,"West Island, Ashmore Reef, Timor Sea","12° 10' 55"" S","122° 58' 34"" E",1/3/73,10/25/10,,
M.26073.002,Skull,Rattus,rattus,Australia,Western Australia,"West Island, Ashmore Reef, Timor Sea","12° 10' 55"" S","122° 58' 34"" E",1/3/73,1/24/92,,
M.26079,"Skin, skull",Pseudomys,hermannsburgensis,Australia,Northern Territory,"50 miles South of Kulgara, Frewena via Tennant Creek",,,,1/24/92,Female,
M.26116,Skin & skull,Leggadina,,Australia,Queensland,Townsville,"19° 15' 36"" S","146° 49' 01"" E",,1/29/92,Male,Adult
M.26120,Spirit & skull,Mus,musculus,Australia,New South Wales,"Sturt National Park, Tibooburra","29° 26' "" S","142° 01' "" E",,1/29/92,,subadult
M.26122,Spirit & skull,Mus,musculus,Australia,New South Wales,"Northmead, 60 Hammers Rd","33° 47' "" S","150° 59' "" E",8/4/79,1/29/92,Male,
M.26123,Spirit & skull,Mus,musculus,Australia,Queensland,Agnes Waters between Gladstone & Bundaburg,"24° 13' 19"" S","151° 53' 49"" E",,1/29/92,,
M.26129,Spirit & skull,Rattus,tunneyi,Australia,New South Wales,"Bens Nob, Conglomerate State Forest, near Coffs Harbour","30° 03' "" S","153° 01' "" E",,1/31/92,Male,
M.26130,Spirit & skull,Rattus,tunneyi,Australia,New South Wales,"Bens Nob, Conglomerate State Forest, near Coffs Harbour","30° 03' "" S","153° 01' "" E",,1/31/92,Female,Adult
M.26131,Spirit & skull,Rattus,tunneyi,Australia,New South Wales,"Bens Nob, Conglomerate State Forest, near Coffs Harbour","30° 03' "" S","153° 01' "" E",,1/31/92,Female,subadult
M.26154,Spirit & skull,Rattus,rattus,Australia,New South Wales,"Illabunda, Nyngan","31° 07' "" S","147° 19' "" E",5/17/70,2/6/92,Male,Juvenile
M.26164.001,Skull,Pseudomys,apodemoides,Australia,South Australia,Meningie,"35° 41' "" S","139° 20' "" E",,2/16/92,,
M.26165,Spirit & Skull,Mus,musculus,Australia,New South Wales,"Mount Wood, Sturt National Park","29° 28' "" S","142° 14' "" E",7/28/89,2/16/92,,Adult
M.26169,Skull,Rattus,lutreolus,Australia,New South Wales,Myall Lake,"32° 25' "" S","152° 30' "" E",7/5/84,2/16/92,,
M.26170,Skull,Rattus,lutreolus,Australia,New South Wales,"Pelican Is, Booti Booti Nature Reserve","31° 25' "" S","152° 54' "" E",5/31/84,2/16/92,,
M.26175,Skull,Rattus,fuscipes,Australia,New South Wales,"Hervey Ranges, Bathurst district","32° 48' "" S","148° 20' "" E",,2/16/92,,
M.26177,"SPIRIT, skull",Rattus,fuscipes,Australia,New South Wales,Mt Boss State Forest,"31° 11' "" S","152° 20' "" E",,2/16/92,,
M.26182,Skull,Hydromys,chrysogaster,Australia,Queensland,"North Queensland, 10 miles E. of Laura.",,,,2/18/92,,
M.26199,Skull,Rattus,tunneyi,Australia,Queensland,"ARCHOOKOORA FORESTRY STATION, KINGAROY.","26° 42' 54"" S","151° 47' 02"" E",11/16/72,2/20/92,Male,
M.26203,Spirit & Skull,Rattus,fuscipes,Australia,,"possibly Meningie, South Australia (see remarks)",,,,2/20/92,,
M.26293.001,Skull,Rattus,leucopus,Australia,Queensland,Thornton Peak,"01° 10' "" S","145° 23' "" E",,3/8/92,Male,
M.26346,Dry and wet,Pseudomys,delicatulus,Australia,Northern Territory,"Groote Eylandt, mining lease","13° 58' "" S","136° 26' "" E",4/6/92,4/13/92,Male,Adult
M.26347,Skin & skull,Pseudomys,delicatulus,Australia,Northern Territory,"Groote Eylandt, mining lease","13° 58' "" S","136° 26' "" E",4/6/92,4/13/92,Female,Adult
M.26348,"Skin & skull, skinned body",Melomys,burtoni,Australia,Northern Territory,"Groote Eylandt, mining lease","13° 55' 59"" S","136° 36' 00"" E",4/6/92,4/13/92,Female,Adult
M.2642,SKIN SKULL,Rattus,rattus,Australia,Tasmania,RAILTON N W TASMANIA,"41° 21' "" S","146° 25' "" E",,5/3/16,,
M.2642.001,Dry,Rattus,rattus,Australia,Tasmania,RAILTON N W TASMANIA,"41° 21' "" S","146° 25' "" E",,10/25/10,,
M.2647,SKIN SKULL,Rattus,norvegicus,Australia,New South Wales,"Leichhardt, Sydney","33° 53' "" S","151° 09' "" E",,6/19/16,,
M.2655,SKIN SKULL IN SKIN,Hydromys,chrysogaster,Australia,New South Wales,"Hen and Chicken Bay, Sydney","33° 51' "" S","151° 07' "" E",,7/31/16,,
M.26559.001,Skull,Rattus,tunneyi,Australia,New South Wales,"Woombah Fire Trail, Bundjalung National Park","29° 16' 07"" S","153° 17' 36"" E",11/21/91,6/4/92,Female,Adult
M.26560,Dry and wet,Rattus,tunneyi,Australia,New South Wales,"Hilltop on ridge betw Big Marsh & Esk R, Bundjalung National Park","29° 17' 35"" S","153° 16' 40"" E",11/21/91,6/4/92,Female,Adult
M.26562,skull spirit body,Rattus,tunneyi,Australia,New South Wales,Bundjalung National Park,"29° 17' "" S","153° 17' "" E",11/22/91,6/4/92,Male,Adult
M.26567,Dry and wet,Melomys,burtoni,Australia,New South Wales,"Woombah Fire Trail, Bundjalung National Park","29° 15' 15"" S","153° 17' 43"" E",11/21/91,6/4/92,Female,Adult
M.26820,Skull & skel elemnts,Pseudomys,bolami,Australia,South Australia,"Fisher, Nullabor Plain","30° 33' "" S","130° 58' "" E",12/28/23,6/12/92,,
M.26843.001,Skull,Rattus,rattus,Australia,New South Wales,"Warung State Forest: Talbragar River Road, 300m S of Warung R Rd","31° 46' "" S","150° 07' "" E",2/26/93,3/18/93,Male,Adult
M.2690,Skin skull,Mus,musculus,Australia,New South Wales,"Widgiewa, near Narrandera","35° 03' "" S","146° 12' "" E",4/1/17,4/24/17,,
M.2691,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Bathurst,"33° 25' "" S","149° 35' "" E",,8/18/17,,
M.2691.001,Dry,Rattus,rattus,Australia,New South Wales,Bathurst,"33° 25' "" S","149° 35' "" E",,10/25/10,,
M.2729,Skin-spirit skull,Mus,musculus,Australia,New South Wales,"Mullaley, via Gunnedah","31° 06' "" S","149° 55' "" E",7/1/18,7/9/18,,
M.2730,Skin skull separate,Mus,musculus,Australia,New South Wales,"Mullaley, via Gunnedah","31° 06' "" S","149° 55' "" E",7/1/18,7/9/18,,
M.2731,Skin skull separate,Mus,musculus,Australia,New South Wales,"Mullaley, via Gunnedah","31° 06' "" S","149° 55' "" E",7/1/18,7/9/18,,
M.2732,Skin skull separate,Mus,musculus,Australia,New South Wales,"Mullaley, via Gunnedah","31° 06' "" S","149° 55' "" E",7/1/18,7/9/18,,
M.2733,Skin skull separate,Mus,musculus,Australia,New South Wales,"Mullaley, via Gunnedah","31° 06' "" S","149° 55' "" E",7/1/18,7/9/18,,
M.2734,Skin skull separate,Mus,musculus,Australia,New South Wales,"Mullaley, via Gunnedah","31° 06' "" S","149° 55' "" E",7/1/18,7/9/18,,
M.2739,Skin-spirit skull,Mus,musculus,Australia,New South Wales,"Mullaley, via Gunnedah","31° 06' "" S","149° 55' "" E",7/1/19,7/9/18,,
M.2746,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,Royal National Park,"34° 08' "" S","151° 04' "" E",,8/17/18,,
M.27463.001,Skull,Leporillus,conditor,Australia,South Australia,Adelaide.,"34° 55' 44"" S","138° 36' 04"" E",9/26/90,8/7/92,Male,Adult
M.27465,Skin Skull,Leporillus,conditor,Australia,South Australia,Ex captive (captive bred at South Australia N.P.W.S. Adelaide),,,,7/7/92,Female,Adult
M.2761,Skin & skull,Mus,musculus,Australia,New South Wales,"Marlee, via Wingham","31° 48' "" S","152° 19' "" E",,2/28/19,,
M.27833,Skull & skeleton,Rattus,villosissimus,Australia,New South Wales,Garnpung Station N of Mungo Nat. Park,"33° 30' "" S","143° 06' "" E",9/6/91,9/23/92,,Adult
M.27834,Skull & skeleton,Rattus,villosissimus,Australia,New South Wales,"Garnpung Station, N of Mungo National Park","33° 30' "" S","143° 06' "" E",9/6/91,9/23/92,,Adult
M.27838,Skin & skull,Zyzomys,woodwardi,Australia,Northern Territory,"East Alligator River,Oenpelli","12° 20' "" S","133° 03' "" E",11/3/48,10/13/92,Male,
M.27839,Skin & skull,Notomys,aquilo,Australia,Northern Territory,"Port Langdon, Groote Eylandt","13° 52' "" S","136° 49' "" E",6/22/48,10/13/92,Female,
M.27840,Skin & skull,Notomys,aquilo,Australia,Northern Territory,"Groote Eylandt, Port Langdon","13° 52' "" S","136° 49' "" E",6/8/48,10/13/92,Female,
M.27841,Skin & skull,Notomys,aquilo,Australia,Northern Territory,"Port Langdon, Groote Eylandt","13° 52' "" S","136° 49' "" E",6/8/48,10/13/92,Female,
M.27887,Skin & skull,Notomys,alexis,Australia,Northern Territory,"Horseshoe Bend, Finke River","25° 13' "" S","134° 14' "" E",11/28/48,10/13/92,Female,
M.27895,Skin & skull,Mesembriomys,gouldii,Australia,Northern Territory,"Gove Airfield, Cape Arnhem Peninsula","12° 22' "" S","136° 58' "" E",9/10/48,10/13/92,Male,
M.2793,SKIN SKULL,Rattus,fuscipes,Australia,Queensland,BUNYA MOUNTAINS NORTH QLD,"26° 51' "" S","151° 34' "" E",,11/26/19,,
M.2795,SKIN-SPIRIT SKULL,Rattus,fuscipes,Australia,New South Wales,"Jerriwangler Ck, Wandandian, 20 miles S of Nowra","35° 05' "" S","150° 31' "" E",,12/6/19,,
M.2796,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Jerriwangler Ck, Wandandian, 20 miles S of Nowra","35° 05' "" S","150° 31' "" E",,12/6/19,,
M.2808,SKIN SKULL,Rattus,lutreolus,Australia,New South Wales,"Hazelbrook, Blue Mountains","33° 44' "" S","150° 27' "" E",,6/15/20,Female,
M.2810,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,7/26/20,Female,
M.2810.001,Dry,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,10/25/10,,
M.2811,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,7/27/20,Female,
M.2811.001,Dry,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,10/25/10,,
M.2812.001,Dry,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,10/25/10,,
M.2813,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,7/27/20,Female,
M.2813.001,Dry,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,10/25/10,,
M.2815,SKIN SKULL,Rattus,rattus,Australia,New South Wales,"Australian Museum, Sydney","33° 53' "" S","151° 13' "" E",,7/30/20,Male,
M.2815.001,Dry,Rattus,rattus,Australia,New South Wales,"Australian Museum, Sydney","33° 53' "" S","151° 13' "" E",,10/25/10,,
M.28160,"spirit body, skull",Notomys,aquilo,Australia,Northern Territory,"Groote Eylandt, ca. 3km S of Emerald River mouth","14° 06' "" S","136° 26' "" E",6/26/92,11/23/92,Male,Adult
M.2826,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,BIRCHMORE LAGOON 15 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 47' "" S","137° 29' "" E",1/25/20,7/31/20,Female,
M.2827,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,BIRCHMORE LAGOON 15 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 47' "" S","137° 29' "" E",1/26/20,7/31/20,Male,
M.2828,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,BIRCHMORE LAGOON 15 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 47' "" S","137° 29' "" E",1/26/20,7/31/20,Male,
M.2829,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,BIRCHMORE LAGOON 15 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 47' "" S","137° 29' "" E",1/28/20,7/31/20,Female,
M.2830,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,TIMBER CK 20 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 50' "" S","137° 19' "" E",1/30/20,7/31/20,Male,
M.2831,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,TIMBER CK 20 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 50' "" S","137° 19' "" E",1/30/20,7/31/20,Male,
M.2832,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,TIMBER CK 20 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 50' "" S","137° 19' "" E",1/30/20,7/31/20,Female,
M.2833,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,TIMBER CK 20 MILES FROM KINGSCOTE KANGAROO ISLAND,"35° 50' "" S","137° 19' "" E",1/30/20,7/31/20,Male,
M.2835,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,DEEP CK 20 MLS FROM KINGSCOTE KANGAROO ISLAND,"35° 46' "" S","137° 55' "" E",2/7/20,7/31/20,Female,
M.2836,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,DEEP CK 20 MLS FROM KINGSCOTE KANGAROO ISLAND,"35° 46' "" S","137° 55' "" E",2/8/20,7/31/20,Male,
M.2837,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,DEEP CK 20 MLS FROM KINGSCOTE KANGAROO ISLAND,"35° 46' "" S","137° 55' "" E",2/10/20,7/31/20,Female,
M.2838,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,DEEP CK 20 MLS FROM KINGSCOTE KANGAROO ISLAND,"35° 46' "" S","137° 55' "" E",2/13/20,7/31/20,Male,
M.2846,Skull,Rattus,fuscipes,Australia,South Australia,DEEP CK 20 MLS FROM KINGSCOTE KANGAROO ISLAND,"35° 46' "" S","137° 55' "" E",2/15/20,7/31/20,Male,
M.2848,SKIN SKULL,Rattus,fuscipes,Australia,South Australia,TULKA 8 MILES FROM PORT LINCOLN EYRES PENINSULA,"34° 48' "" S","135° 48' "" E",3/26/20,7/31/20,Male,
M.2852,SKIN SKULL,Rattus,rattus,Australia,South Australia,TODD R KOPPIO 20 MLS FROM PORT LINCOLN EYRES PENINSULA,"34° 26' "" S","135° 52' "" E",3/14/20,7/31/20,Male,
M.2852.001,Dry,Rattus,rattus,Australia,South Australia,TODD R KOPPIO 20 MLS FROM PORT LINCOLN EYRES PENINSULA,"34° 26' "" S","135° 52' "" E",3/14/20,10/25/10,,
M.2867,SKIN SKULL,Rattus,rattus,Australia,New South Wales,"Bombah Point, Myall Lakes, Port Stephens","32° 31' "" S","152° 18' "" E",8/29/20,8/31/20,Female,
M.2867.001,Dry,Rattus,rattus,Australia,New South Wales,"Bombah Point, Myall Lakes, Port Stephens","32° 31' "" S","152° 18' "" E",8/29/20,10/25/10,,
M.2868,Spirit & Skull,Mus,musculus,Australia,New South Wales,"Bombah Point, Myall Lakes, Port Stephens","32° 31' "" S","152° 18' "" E",8/29/20,8/31/20,Female,
M.2870,SKIN SKULL,Hydromys,chrysogaster,Australia,New South Wales,"Longnose Pt, Parramatta R, Sydney","33° 37' "" S","151° 18' "" E",9/4/20,9/6/20,Male,
M.2881,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Megalong Valley, 2 miles from Blackheath, Blue Mountains","33° 38' "" S","150° 14' "" E",9/13/20,9/16/20,Male,
M.2882,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Megalong Valley, 2 miles from Blackheath, Blue Mountains","33° 38' "" S","150° 14' "" E",9/13/20,9/16/20,Female,
M.2891,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Warragamba/Nepean Rivers junction,"33° 53' "" S","150° 37' "" E",10/19/20,10/21/20,Male,
M.2891.001,Dry,Rattus,rattus,Australia,New South Wales,Warragamba/Nepean Rivers junction,"33° 53' "" S","150° 37' "" E",10/19/20,10/25/10,,
M.2892,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Warragamba/Nepean Rivers junction,"33° 53' "" S","150° 37' "" E",10/19/20,10/21/20,Male,
M.2892.001,Dry,Rattus,rattus,Australia,New South Wales,Warragamba/Nepean Rivers junction,"33° 53' "" S","150° 37' "" E",10/19/20,10/25/10,,
M.29106,skin skull,Leggadina,forresti,Australia,Queensland,"Cannington Station, 80k. S of McKinlay","21° 54' 08"" S","140° 55' 11"" E",5/22/93,,Male,Adult
M.2937,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,12/11/20,Male,
M.2937.001,Dry,Rattus,rattus,Australia,New South Wales,Kendall,"31° 38' "" S","152° 42' "" E",,10/25/10,,
M.29414,Skull,Rattus,lutreolus,Australia,New South Wales,"Wollongbar, 11 Acacia St","28° 49' "" S","153° 24' "" E",11/8/89,10/1/93,Male,
M.29416,Skeleton,Rattus,villosissimus,Australia,Queensland,"80 k. South of McKinlay, Cannington Station","21° 52' 27"" S","140° 54' 57"" E",,10/18/93,,
M.29421,"skin skull, spirit body",Pseudomys,hermannsburgensis,Australia,New South Wales,"Nulty Springs Station, 90 km NE of Bourke","29° 24' 33"" S","146° 09' 03"" E",10/13/93,11/4/93,Male,subadult
M.29424,"skull, spirit body",Pseudomys,hermannsburgensis,Australia,New South Wales,"Nulty Springs Station, 90 km NE of Bourke","29° 24' 33"" S","146° 09' 03"" E",10/14/93,11/4/93,Female,adult
M.2943,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Lord Howe Island,"31° 33' "" S","159° 05' "" E",2/21/21,4/11/21,Male,
M.2943.001,Dry,Rattus,rattus,Australia,New South Wales,Lord Howe Island,"31° 33' "" S","159° 05' "" E",2/21/21,10/25/10,,
M.29432,Dry and wet,Mus,musculus,Australia,New South Wales,"Etoo State Forest, Pilliga area","30° 30' "" S","149° 03' "" E",9/25/93,11/8/93,,
M.2944,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Lord Howe Island,"31° 33' "" S","159° 05' "" E",2/21/21,4/11/21,Female,
M.2944.001,Dry,Rattus,rattus,Australia,New South Wales,Lord Howe Island,"31° 33' "" S","159° 05' "" E",2/21/21,10/25/10,,
M.2945,SKIN SKULL,Rattus,rattus,Australia,New South Wales,Lord Howe Island,"31° 33' "" S","159° 05' "" E",3/16/21,4/11/21,Female,
M.2945.001,Dry,Rattus,rattus,Australia,New South Wales,Lord Howe Island,"31° 33' "" S","159° 05' "" E",3/16/21,10/25/10,,
M.2957,SKIN SKULL,Rattus,norvegicus,Australia,New South Wales,"Neutral Bay, Sydney","33° 50' "" S","151° 13' "" E",5/6/21,5/6/21,Male,
M.296,SKIN SKULL IN SKIN,Hydromys,chrysogaster,Australia,New South Wales,Bourke district,"30° 05' "" S","145° 56' "" E",,,Female,
M.2964,SKIN SKULL,Rattus,rattus,Australia,New South Wales,"Hazelbrook, Blue Mountains","33° 44' "" S","150° 27' "" E",5/16/21,5/20/21,,Juvenile
M.2970,Spirit & Skull,Mus,musculus,Australia,New South Wales,"Manly, Sydney","33° 48' "" S","151° 17' "" E",,6/14/21,Male,
M.2977,Spirit & Skull,Mus,musculus,Australia,New South Wales,"Beecroft, Sydney","33° 45' "" S","151° 04' "" E",,7/6/21,,
M.29836,spirit and skull.,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield, S of Drake","29° 08' "" S","152° 17' "" E",11/17/93,,Male,
M.29837,skull and spirit,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 18' "" E",11/21/93,,Male,subadult
M.29838,skull and spirit,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 17' "" E",11/17/93,,Male,adult
M.29839,spirit and skull,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 17' "" E",11/17/93,,Male,
M.29840,Skull & spirit,Pseudomys,oralis,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield.","29° 08' "" S","152° 19' "" E",11/20/93,,Female,
M.29841,skull and spirit,Melomys,cervinipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 17' "" E",11/16/93,,,
M.2989,FLAT SKIN SKULL,Pseudomys,bolami,Australia,South Australia,on Trans-Australian Railway route,"30° 27' "" S","131° 50' "" E",,8/12/21,,
M.2991,SKIN SKULL,Pseudomys,bolami,Australia,South Australia,on Trans-Australian Railway route,"30° 27' "" S","131° 50' "" E",,8/12/21,Female,Adult
M.2992,Skin & skull,Mus,musculus,Australia,South Australia,Ooldea trans Aust. Railway.,"30° 27' "" S","131° 50' "" E",,8/12/21,,
M.2993,Skin & skull,Mus,musculus,Australia,South Australia,Ooldea Trans Aust. Railway,"30° 27' "" S","131° 50' "" E",,8/12/21,,
M.30045,skull and spirit,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 19' "" E",11/23/93,3/1/94,Female,
M.30047,skull and spirit,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 19' "" E",11/14/93,,Male,
M.30048,skull and spirit,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 19' "" E",11/23/93,3/1/94,Female,
M.30049,skull and spirit,Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 19' "" E",11/23/93,,Male,
M.30050,"spirit, skull",Rattus,fuscipes,Australia,New South Wales,"Poverty Point, 30 km E of Tenterfield","29° 08' "" S","152° 19' "" E",11/23/93,3/1/94,Male,Juvenile
M.3012,SKULL SKIN IN SPIRIT,Rattus,fuscipes,Australia,New South Wales,"Blue Gum Knob, Upper Chichester, near Dungog","32° 11' "" S","151° 38' "" E",8/6/21,8/29/21,Female,
M.3013,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Blue Gum Knob, Upper Chichester, near Dungog","32° 11' "" S","151° 38' "" E",8/7/21,8/29/21,Male,
M.3020,Skull,Rattus,rattus,Australia,New South Wales,"Upper Chichester, near Dungog","32° 10' "" S","151° 35' "" E",8/10/21,8/29/21,Female,
M.3030,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Duggans Gully, Upper Chichester, near Dungog","32° 10' "" S","151° 35' "" E",9/26/21,10/11/21,,
M.30305,Skeleton,Rattus,fuscipes,Australia,New South Wales,Royal National Park; Maianbar Rd. 150m N of Bundeena Rd,"34° 08' "" S","151° 04' "" E",8/14/92,4/19/94,Male,adult
M.3031,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Duggans Gully, Upper Chichester, near Dungog","32° 10' "" S","151° 35' "" E",9/26/21,10/11/21,,
M.3032,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Duggans Gully, Upper Chichester, near Dungog","32° 10' "" S","151° 35' "" E",9/26/21,10/11/21,,
M.3033,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Duggans Gully, Upper Chichester, near Dungog","32° 10' "" S","151° 35' "" E",9/26/21,10/11/21,,
M.3038,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Upper Chichester R, near Dungog","32° 10' "" S","151° 35' "" E",10/19/21,11/16/21,,
M.3039,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Upper Chichester R, near Dungog","32° 10' "" S","151° 35' "" E",10/19/21,11/16/21,,
M.30391,spirit skull,Rattus,tunneyi,Australia,New South Wales,"Skinners Swamp TSR, W of Armidale/Grafton Rd","29° 51' 16"" S","152° 50' 29"" E",3/17/94,5/5/94,Female,Adult
M.30393,spirit skull,Rattus,tunneyi,Australia,New South Wales,"Saltwater Inlet Tk, E of portion 7, N of Iluka, Bundjalung N.P.","29° 22' 33"" S","153° 20' 57"" E",3/31/94,5/5/94,Female,Adult
M.30394,spirit skull,Rattus,tunneyi,Australia,New South Wales,"Iluka Rd, 700m W of Shark Bay, 4WD access, Bundjalung National Park","29° 21' 31"" S","153° 20' 57"" E",3/31/94,3/5/94,Female,Juvenile
M.30395,spirit skull,Rattus,tunneyi,Australia,New South Wales,"Saltwater Inlet Tk, N of Iluka, Bundjalung National Park","29° 22' 43"" S","153° 21' 27"" E",3/31/94,5/5/94,Female,Adult
M.3042,SKIN SKULL,Rattus,norvegicus,Australia,New South Wales,"Lady Macquaries Chair, Sydney","33° 53' "" S","151° 13' "" E",2/15/22,3/18/22,Female,Juvenile
M.30440,"skeleton, skull",Rattus,lutreolus,Australia,New South Wales,"Warambul Rd, approx 3 km S of Audley, Royal National Park","34° 08' "" S","151° 05' "" E",3/16/94,10/5/94,Male,
M.30553,"skull, spirit body",Rattus,fuscipes,Australia,New South Wales,"Tyagarah Nature Reserve, S of Brunswick Heads","28° 36' 36"" S","153° 33' 46"" E",6/2/94,6/20/94,Male,Adult
M.30557,skull skin,Rattus,tunneyi,Australia,New South Wales,"Yuraygir National Park, N of Wooli","29° 49' 58"" S","153° 16' 12"" E",5/20/94,6/20/94,Female,
M.30558,Dry and wet,Rattus,tunneyi,Australia,New South Wales,"Yuraygir National Park, N of Wooli","29° 49' 58"" S","153° 16' 12"" E",5/20/94,6/20/94,Male,
M.3057,SKIN SKULL,Hydromys,chrysogaster,Australia,New South Wales,"Lady Macquaries Chair, Sydney","33° 53' "" S","151° 13' "" E",,5/16/22,,
