Reg,RegNum,Scientific Name,Species Common Name,Sex,Collection Locality,Date Collected,Collector,Specimen Notes,Notes,Specimen Form,Specimen Part,Current Location,Age,Stage,Total Length,Hindfoot Length,Ear Length,Unit,Weight,Unit of Weight
C,32024,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",27/05/1980,"Seebeck, J H",,Mx02 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236299),,,240,33,25,mm,107,grams
C,32022,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",29/05/1980,"Warneke, R M",,Mx02 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236299),,,287,34,26,mm,90,grams
C,32032,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",24/06/1980,"Warneke, R M",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236299),,,314,31,24.5,mm,140,grams
C,32028,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Captive (Healesville Sanctuary)",15/04/1980,"Seebeck, J H",female - adult,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236299),Adult,,340,33,28,mm,130,grams
C,32033,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",29/05/1980,"Cherry, K A",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236299),,,283,33,26,mm,90,grams
C,32018,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",29/05/1980,"Cherry, K A",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236299),,,275,30,25,mm,102,grams
C,32008,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",24/06/1980,"Warneke, R M",,"Little or no fat in pelvic region (lateral) only moulting, no entail fat",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,312,32,24,mm,110,grams
C,32007,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Captive (Healesville Sanctuary)",27/06/1980,"Cherry, K A",,Perforate. Er06 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,320,33.5,23.5,mm,103,grams
C,32000,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Arnold Creek track (37 31 S, 145 57 E)",25/06/1980,"Warneke, R M",,imperforate,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,252,28,21.5,mm,70,grams
C,32002,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Arnold Creek track (37 31 S, 145 57 E)",25/06/1980,"Warneke, R M",,Fat,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236302),,,346,32,25,mm,141,grams
