Orig Order,Prefix,Reg Number,Suffix,Preceeding Numbers,Other Numbers,Date Catalogued,Catalogued by,Form of Object,Kind of Object,Family,Genus,Species,Subspecies,Type Status,ID Confidence,Identified by,Date Identified,ID Comments,ID Current,Date Collected,Origin Of Specimen,Age Of Material,Collector,Expedition Name,Site Code,Latitude (DMS),Latitude Dec,Longitude (DMS),Longitude Dec,Precision,Determination,Datum,Other Datum,Country,Province/State/Territory,Location,Nearest Named Place,Special Geographic Unit,Method Of Capture,Tissues Collected,ABTC Number,Preservative,Fixative,How Acquired,Acquisition Date,Name of Source,Current Location,Permanent Location,Mammal Age,Sex,Reproductive Condition,Weight,Weight Unit,Weight Age Comments,Head Length,Head/Body Length,Tail Length,Hindfoot Length,Ear/Notch Length,Forearm Length,Total Length,Measurement Unit,Habitat,Notes,Itemised Notes
100,M,7896,,,,1970-01-15,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-,,I,"Reeves, P",,,35 48 00 S,-35.8000,140 52 30 E,140.8750,3 (within 1 minute),,,,Australia,South Australia,"NW, 5 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,18,g,,,81,66,21.3,17.3,,147,mm,,"Tail slightly damaged, tip missing.
Other Measurements: T.L. 147mm",
102,M,8215,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-11,,I,"Cleggett, D",,,36 08 00 S,-36.1333,141 27 00 E,141.4500,5 (within 30 minutes),,,,Australia,Victoria,Pigick (near Yanac),Yanac,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,86.5,91.0,20.7,17.0,,177.5,mm,,Other Measurements: T.L. 177.5mm,
103,M,8216,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-11,,I,"Cleggett, D",,,36 08 00 S,-36.1333,141 27 00 E,141.4500,5 (within 30 minutes),,,,Australia,Victoria,Pigick (near Yanac),Yanac,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,85,99,20.8,18.0,,184,mm,,Other Measurements: T.L. 184mm,
104,M,8217,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,86,102,20.7,17.4,,188,mm,,Other Measurements: T.l. 188mm,
105,M,8218,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,86,102,22.0,17.5,,188,mm,,Other Measurements: T.L. 188mm,
106,M,8219,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,82,98,20.6,17.4,,180,mm,,Other Measurements: T.L. 180mm,
107,M,8220,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,88,64,21.7,18.7,,152,mm,,"Tail damaged.
Other Measurements: T.L. 152mm",
108,M,8221,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,86,96,20.7,16.3,,182,mm,,Other Measurements: T.L. 182mm,
109,M,8222,,,,1971-01-22,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-10-23,,I,"Reeves, P",,,35 45 00 S,-35.7500,140 48 00 E,140.8000,3 (within 1 minute),,,,Australia,South Australia,"N, 6 miles",Bunns Bore,,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Male,,,,,,81,106,21.7,16.3,,187,mm,,Other Measurements: T.L. 187mm,
110,M,8223,,,,1971-01-25,,SC,PreservedSpecimen,Muridae,Pseudomys,apodemoides,,,,,,,Yes,1969-11-08,,I,"Reeves, P",,,37 06 00 S,-37.1000,140 35 00 E,140.5833,4 (within 10 minutes),,,,Australia,South Australia,,Big Heath Conservation Park,Big Heath Conservation Park,,,,,,C,,,,[C] SA Museum - Science Centre - Level 1 - Mammalogy,Adult,Female,,,,,,86,96,20.7,16.3,,182,mm,,Other Measurements: T.L. 182mm,
